Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","246","Finland","2001","2001","23014","Food price inflation","7001","January","%","3.900862","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2001","2001","23014","Food price inflation","7002","February","%","2.525304","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2001","2001","23014","Food price inflation","7003","March","%","2.998384","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2001","2001","23014","Food price inflation","7004","April","%","2.810568","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2001","2001","23014","Food price inflation","7005","May","%","4.679704","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2001","2001","23014","Food price inflation","7006","June","%","5.013944","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2001","2001","23014","Food price inflation","7007","July","%","5.182887","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2001","2001","23014","Food price inflation","7008","August","%","5.107738","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2001","2001","23014","Food price inflation","7009","September","%","5.016882","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2001","2001","23014","Food price inflation","7010","October","%","5.652613","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2001","2001","23014","Food price inflation","7011","November","%","4.76618","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2001","2001","23014","Food price inflation","7012","December","%","5.470317","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2002","2002","23014","Food price inflation","7001","January","%","6.990615","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2002","2002","23014","Food price inflation","7002","February","%","6.069785","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2002","2002","23014","Food price inflation","7003","March","%","6.347967","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2002","2002","23014","Food price inflation","7004","April","%","4.591871","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2002","2002","23014","Food price inflation","7005","May","%","3.688883","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2002","2002","23014","Food price inflation","7006","June","%","2.027281","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2002","2002","23014","Food price inflation","7007","July","%","2.577473","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2002","2002","23014","Food price inflation","7008","August","%","0.901665","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2002","2002","23014","Food price inflation","7009","September","%","0.08515","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2002","2002","23014","Food price inflation","7010","October","%","0.522661","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2002","2002","23014","Food price inflation","7011","November","%","0.686698","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2002","2002","23014","Food price inflation","7012","December","%","0.415685","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2003","2003","23014","Food price inflation","7001","January","%","-1.4804","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2003","2003","23014","Food price inflation","7002","February","%","0.221167","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2003","2003","23014","Food price inflation","7003","March","%","-0.421127","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2003","2003","23014","Food price inflation","7004","April","%","1.106878","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2003","2003","23014","Food price inflation","7005","May","%","-0.799779","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2003","2003","23014","Food price inflation","7006","June","%","0.324967","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2003","2003","23014","Food price inflation","7007","July","%","-0.230947","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2003","2003","23014","Food price inflation","7008","August","%","0.498543","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2003","2003","23014","Food price inflation","7009","September","%","1.975415","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2003","2003","23014","Food price inflation","7010","October","%","1.786725","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2003","2003","23014","Food price inflation","7011","November","%","2.28284","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2003","2003","23014","Food price inflation","7012","December","%","2.09803","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2004","2004","23014","Food price inflation","7001","January","%","1.855107","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2004","2004","23014","Food price inflation","7002","February","%","0.560863","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2004","2004","23014","Food price inflation","7003","March","%","0.606788","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2004","2004","23014","Food price inflation","7004","April","%","0.671579","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2004","2004","23014","Food price inflation","7005","May","%","0.815485","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2004","2004","23014","Food price inflation","7006","June","%","0.397962","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2004","2004","23014","Food price inflation","7007","July","%","1.509252","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2004","2004","23014","Food price inflation","7008","August","%","1.469481","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2004","2004","23014","Food price inflation","7009","September","%","0.750766","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2004","2004","23014","Food price inflation","7010","October","%","0.482967","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2004","2004","23014","Food price inflation","7011","November","%","-0.055565","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2004","2004","23014","Food price inflation","7012","December","%","0.267236","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2005","2005","23014","Food price inflation","7001","January","%","0.118389","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2005","2005","23014","Food price inflation","7002","February","%","1.97335","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2005","2005","23014","Food price inflation","7003","March","%","2.217728","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2005","2005","23014","Food price inflation","7004","April","%","0.866424","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2005","2005","23014","Food price inflation","7005","May","%","0.865782","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2005","2005","23014","Food price inflation","7006","June","%","0.578492","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2005","2005","23014","Food price inflation","7007","July","%","-0.556502","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2005","2005","23014","Food price inflation","7008","August","%","-0.073931","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2005","2005","23014","Food price inflation","7009","September","%","-0.2196","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2005","2005","23014","Food price inflation","7010","October","%","-0.083367","E","Estimated value",""
"CP","Consumer Price Indices","246","Finland","2005","2005","23014","Food price inflation","7011","November","%","0.663965","E","Estimated value",""
